0.04 2000 0.874487973952
0.08 4000 0.88417183069
0.12 6000 0.887847915135
0.16 8000 0.890820291986
0.2 10000 0.897563281168
0.24 12000 0.898697615797
0.28 14000 0.901365402794
0.32 16000 0.90304589854
0.36 18000 0.904148723874
0.4 20000 0.904043692889
0.44 21999 0.906606448902
0.48 23999 0.907079088331
0.52 25999 0.907383678185
0.56 27999 0.909862409411
0.6 30000 0.91019850856
0.64 32000 0.910566117005
0.68 34000 0.911605923748
0.72 36000 0.912057556979
0.76 38000 0.913496481462
0.8 40000 0.913790568218
0.84 42000 0.912939817246
0.88 44000 0.914021636383
0.92 46000 0.915807163113
0.96 48000 0.91410566117
1.0 50000 0.912824283164
